epoch,metrics/precision(B)_results_11x,metrics/precision(B)_results_10x_normalized,metrics/precision(B)_diff,metrics/recall(B)_results_11x,metrics/recall(B)_results_10x_normalized,metrics/recall(B)_diff,metrics/mAP50(B)_results_11x,metrics/mAP50(B)_results_10x_normalized,metrics/mAP50(B)_diff,metrics/mAP50-95(B)_results_11x,metrics/mAP50-95(B)_results_10x_normalized,metrics/mAP50-95(B)_diff
1,0.0,0.16495,-0.16495,0.0,0.43243000000000004,-0.43243000000000004,0.0,0.10694000000000001,-0.10694000000000001,0.0,0.044340000000000004,-0.044340000000000004
2,0.0,0.16495,-0.16495,0.0,0.43243000000000004,-0.43243000000000004,0.0,0.10694000000000001,-0.10694000000000001,0.0,0.044340000000000004,-0.044340000000000004
3,0.0,8.28,-8.28,0.0,0.25676,-0.25676,0.0,4.37,-4.37,0.0,1.85,-1.85
4,0.0,0.22672,-0.22672,0.0,0.05405,-0.05405,0.0,0.02267,-0.02267,0.0,9.56,-9.56
5,0.10396,0.46598,-0.36202,0.42568,0.31757,0.10810999999999998,0.05912,0.28784,-0.22871999999999998,0.01835,0.09895,-0.08059999999999999
6,0.526,0.01746,0.50854,0.34459,0.41216,-0.06757000000000002,0.30505,0.01421,0.29084,0.12848,4.75,-4.62152
7,0.526,0.6893300000000001,-0.1633300000000001,0.34459,0.39865,-0.05406,0.30505,0.43396,-0.12891000000000002,0.12848,0.16042,-0.031939999999999996
8,0.74661,0.08388999999999999,0.66272,0.81757,0.83784,-0.02027000000000001,0.76109,0.85434,-0.09324999999999994,0.33114,0.33626,-0.005120000000000013
9,0.0631,0.80473,-0.7416299999999999,0.62162,0.83538,-0.21376000000000006,0.0554,0.8626699999999999,-0.8072699999999999,0.02414,0.34818,-0.32404
10,0.75225,0.19422,0.55803,0.50676,0.08108,0.42568,0.55756,3.55,-2.9924399999999998,0.21938,0.01431,0.20507
11,0.69376,0.7522199999999999,-0.058459999999999845,0.7973,0.71794,0.07935999999999999,0.73069,0.72758,0.003109999999999946,0.30153,0.31609000000000004,-0.014560000000000017
12,0.73977,0.7884099999999999,-0.048639999999999906,0.82593,0.8445900000000001,-0.01866000000000001,0.78554,0.84937,-0.06382999999999994,0.37408,0.35631999999999997,0.017760000000000054
13,0.73648,0.8299500000000001,-0.09347000000000005,0.77027,0.81081,-0.04054000000000002,0.76475,0.86119,-0.09643999999999997,0.3211,0.38213,-0.06103000000000003
14,0.58002,0.07775,0.50227,0.64189,0.72297,-0.08108000000000004,0.55744,0.07786,0.47958000000000006,0.23877,0.31550999999999996,-0.07673999999999995
15,0.8559,0.7723399999999999,0.08356000000000008,0.88293,0.84816,0.03476999999999997,0.88553,0.8524299999999999,0.03310000000000013,0.37817,0.38974,-0.01156999999999997
16,0.85755,0.85875,-0.0011999999999999789,0.87838,0.8626699999999999,0.015710000000000113,0.87693,0.89405,-0.017120000000000024,0.40606,0.38972999999999997,0.01633000000000001
17,0.81423,0.74684,0.06739000000000006,0.81757,0.80405,0.013519999999999976,0.85363,0.8139400000000001,0.03968999999999989,0.39328,0.35468000000000005,0.03859999999999997
18,0.85357,0.87158,-0.01800999999999997,0.81757,0.82545,-0.007879999999999998,0.85365,0.88141,-0.027760000000000007,0.39322,0.38457,0.008649999999999991
19,0.80883,0.8475400000000001,-0.03871000000000002,0.90541,0.82638,0.07903000000000004,0.84469,0.87992,-0.035229999999999984,0.39368,3.96,-3.56632
20,0.86203,0.83528,0.02674999999999994,0.88656,0.8851399999999999,0.0014200000000000879,0.91478,0.87816,0.036619999999999986,0.38577,0.03495,0.35082
21,0.83685,0.80735,0.02949999999999997,0.77703,0.8494700000000001,-0.07244000000000006,0.82563,0.87177,-0.04614000000000007,0.35853,0.38348999999999994,-0.024959999999999927
22,0.87059,0.84812,0.02246999999999999,0.89189,0.85135,0.04053999999999991,0.89553,0.8803300000000001,0.015199999999999991,0.38199,3.75,-3.36801
23,0.86687,0.86713,-0.00025999999999992696,0.87162,0.80405,0.06756999999999991,0.88688,0.8625700000000001,0.024309999999999943,0.40972,0.36849,0.04122999999999999
24,0.83645,0.9131699999999999,-0.0767199999999999,0.86394,0.85272,0.011220000000000008,0.86245,0.8968600000000001,-0.03441000000000005,0.38689,0.37578,0.011110000000000009
25,0.78254,0.86356,-0.08101999999999998,0.85101,0.08981,0.7612000000000001,0.85485,0.8954300000000001,-0.04058000000000006,0.39529,0.40031,-0.0050200000000000244
26,0.82483,0.86453,-0.03970000000000007,0.82432,0.77703,0.047290000000000054,0.83978,0.82376,0.016019999999999923,0.39246,0.39283,-0.00037000000000003697
27,0.8068,0.8162699999999999,-0.009469999999999978,0.89189,0.87056,0.02132999999999996,0.87683,0.83306,0.043769999999999976,0.39629,0.04003999999999999,0.35624999999999996
28,0.80235,0.84969,-0.04733999999999994,0.88514,0.91668,-0.03154000000000001,0.88003,0.89927,-0.019240000000000035,0.39942,0.41503,-0.015610000000000013
29,0.77367,0.85872,-0.08505000000000007,0.90077,0.8851399999999999,0.015630000000000033,0.88764,0.9066500000000001,-0.019010000000000082,0.38727,0.39161,-0.0043400000000000105
30,0.81132,0.8771800000000001,-0.06586000000000003,0.83108,0.83784,-0.006759999999999988,0.86418,0.08836000000000001,0.77582,0.39304,0.40771,-0.014670000000000016
31,0.79981,0.89129,-0.09148,0.90541,0.8863599999999999,0.019050000000000122,0.87484,0.87726,-0.0024200000000000887,0.41604,0.03933,0.37671000000000004
32,0.84966,0.90128,-0.05162,0.87827,0.8636400000000001,0.01462999999999992,0.90412,0.90413,-9.99999999995449e-06,0.40638,0.40468000000000004,0.0016999999999999793
