epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1578,2.33137,2.55963,1.15259,0,0,0,0,nan,nan,nan,0.00062,0.00062,0.00062
2,81.4655,2.07879,1.61792,1.0372,0,0,0,0,nan,nan,nan,0.00124753,0.00124753,0.00124753
3,118.15,2.21853,1.48185,1.09866,0,0,0,0,nan,nan,nan,0.00186238,0.00186238,0.00186238
4,154.367,2.15093,1.28874,1.06393,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,197.809,2.07278,1.18727,1.04089,0.10396,0.42568,0.05912,0.01835,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,232.254,1.95285,1.08712,1.02371,0.526,0.34459,0.30505,0.12848,nan,nan,nan,0.001901,0.001901,0.001901
7,268.326,1.91979,1.09301,1.00828,0.526,0.34459,0.30505,0.12848,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,307.915,1.91632,1.05206,1.01189,0.74661,0.81757,0.76109,0.33114,1.90703,1.67278,1.02403,0.0018614,0.0018614,0.0018614
9,342.982,1.87584,1.06512,0.98476,0.0631,0.62162,0.0554,0.02414,2.02997,8.84352,1.13897,0.0018416,0.0018416,0.0018416
10,376.32,1.95489,1.06234,0.99907,0.75225,0.50676,0.55756,0.21938,2.03023,1.64235,1.03398,0.0018218,0.0018218,0.0018218
11,412.57,1.93062,1.09126,1.0112,0.69376,0.7973,0.73069,0.30153,1.81022,1.31609,1.0031,0.001802,0.001802,0.001802
12,449.515,1.89818,1.05248,1.00567,0.73977,0.82593,0.78554,0.37408,1.79741,1.36929,0.99232,0.0017822,0.0017822,0.0017822
13,487.474,1.85068,0.99124,0.99618,0.73648,0.77027,0.76475,0.3211,1.8656,1.1917,1.01146,0.0017624,0.0017624,0.0017624
14,520.175,1.85784,0.99591,0.98444,0.58002,0.64189,0.55744,0.23877,1.90299,1.45054,1.02533,0.0017426,0.0017426,0.0017426
15,558.286,1.82371,0.99158,0.98368,0.8559,0.88293,0.88553,0.37817,1.86168,1.06497,1.00711,0.0017228,0.0017228,0.0017228
